movie_name,release_year,certificate,duration,genre,star,metascore,votes
Cruel Summer,2021– ,not rated,45 min,"Drama, Mystery, Thriller",7.5,nil,"4,561"
 Invincible,2021– ,not rated,42 min,"Animation, Action, Adventure",8.3,nil,"4,551"
50M2,2021– ,not rated,45 min,"Comedy, Drama, Thriller",7.0,nil,"4,510"
 Mare of Easttown,2021,not rated,57 min,"Crime, Drama, Mystery",9.4,nil,"4,495"
Cidade Invisível,2021– ,not rated,60 min,"Crime, Drama, Fantasy",7.4,nil,"4,490"
 Invincible,2021– ,not rated,45 min,"Animation, Action, Adventure",7.7,nil,"4,464"
Loco por ella,2021,not rated,102 min,"Comedy, Romance",6.6,nil,"4,464"
Mandela,2021,not rated,140 min,"Comedy, Drama",8.5,nil,"4,461"
 Cobra Kai,2018– ,not rated,41 min,"Action, Comedy, Drama",9.5,nil,"4,447"
Panic,2021– ,not rated,nil,"Adventure, Crime, Drama",6.4,nil,"4,440"
Chakravyuh: An Inspector Virkar Crime Thriller,2021– ,not rated,28 min,"Crime, Thriller",9.0,nil,"4,392"
 Invincible,2021– ,not rated,45 min,"Animation, Action, Adventure",8.0,nil,"4,343"
The Crew,II 2021– ,not rated,nil,Comedy,6.6,nil,"4,327"
 Star Wars: The Bad Batch,2021– ,not rated,70 min,"Animation, Action, Adventure",9.0,nil,"4,303"
Nayattu,2021,not rated,124 min,Thriller,8.2,nil,"4,296"
Ajeeb Daastaans,2021,16,142 min,"Drama, Romance",6.7,nil,"4,272"
Land,2021,12,89 min,Drama,6.6,61        ,"4,256"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.4,nil,"4,229"
Biggie: I Got a Story to Tell,2021,16,97 min,"Documentary, Biography, Music",6.9,62        ,"4,206"
Call Me Kat,2021– ,not rated,21 min,Comedy,5.0,nil,"4,153"
 Aspirants,2021– ,not rated,38 min,Drama,9.4,nil,"4,099"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.4,nil,"4,073"
Blue Miracle,2021,6,95 min,"Adventure, Biography, Drama",6.7,48        ,"4,062"
Girl in the Basement,2021,not rated,88 min,"Crime, Thriller",6.4,nil,"4,027"
History of Swear Words,2021– ,12,124 min,"Documentary, Comedy",6.4,nil,"4,023"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.2,nil,"4,013"
Sen Hiç Atesböcegi Gördün mü?,2021,12,113 min,"Comedy, Drama",6.2,nil,"4,012"
Runaway Lugaai,2021– ,not rated,25 min,"Comedy, Drama",8.3,nil,"4,005"
X-Ray: Selected Satyajit Shorts,2021– ,not rated,65 min,"Crime, Drama, Thriller",7.7,nil,"3,981"
Good on Paper,2021,16,92 min,"Comedy, Romance",5.6,54        ,"3,941"
Justice Society: World War II,2021,PG-13,84 min,"Animation, Action, Adventure",6.4,nil,"3,934"
Sardar Ka Grandson,2021,not rated,139 min,"Comedy, Drama, Romance",4.1,nil,"3,869"
His Storyy,2021– ,not rated,nil,Drama,9.7,nil,"3,860"
The Underground Railroad,2021– ,not rated,593 min,"Drama, History, War",7.3,nil,"3,830"
Nail Polish,2021,not rated,128 min,Drama,7.4,nil,"3,820"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.6,nil,"3,809"
Sexify,2021– ,not rated,40 min,"Comedy, Drama",6.5,nil,"3,804"
I Am All Girls,2021,16,107 min,"Crime, Drama, Mystery",5.8,nil,"3,771"
Top Class: The Life and Times of the Sierra Canyon Trailblazers,2021– ,not rated,30 min,"Documentary, Sport",9.7,nil,"3,757"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.3,nil,"3,722"
Chad,2021– ,not rated,30 min,Comedy,2.7,nil,"3,694"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.5,nil,"3,625"
The Virtuoso,2021,R,110 min,"Action, Crime, Thriller",4.9,24        ,"3,608"
Fear of Rain,2021,12,109 min,"Drama, Horror, Thriller",5.9,nil,"3,608
| Gross"
Us Again,2021,G,7 min,"Animation, Short, Drama",8.0,nil,"3,607"
 Mare of Easttown,2021,not rated,58 min,"Crime, Drama, Mystery",8.1,nil,"3,594"
Pogaru,2021,not rated,160 min,Action,5.7,nil,"3,579"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.3,nil,"3,565"
Sulthan,2021,not rated,145 min,"Action, Drama",6.4,nil,"3,562"
 Lucifer,2016– ,12,60 min,"Crime, Drama, Fantasy",7.6,nil,"3,552"
Batman: Soul of the Dragon,2021,R,83 min,"Animation, Action, Adventure",6.1,nil,"3,551"
 One Piece: Wan pîsu,1999– ,not rated,24 min,"Animation, Action, Adventure",9.7,nil,"3,550"
Siyavash,2021– ,not rated,50 min,Drama,6.2,nil,"3,518"
Yasuke,2021– ,not rated,30 min,"Animation, Action, Adventure",6.3,nil,"3,505"
Naandhi,2021,not rated,146 min,"Crime, Drama, Thriller",8.4,nil,"3,501"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.3,nil,"3,498"
Bombay Begums,2021– ,not rated,50 min,Drama,4.9,nil,"3,492"
Tiger,2021,not rated,192 min,"Documentary, Biography, Sport",7.8,nil,"3,487"
 The Family Man,2019– ,not rated,nil,"Action, Comedy, Drama",9.3,nil,"3,475"
Silence: Can You Hear It,2021,not rated,136 min,"Crime, Thriller",6.6,nil,"3,447"
The Mighty Ducks: Game Changers,2021– ,6,nil,"Comedy, Drama, Sport",7.5,nil,"3,434"
Saina,2021,not rated,135 min,"Biography, Drama, Sport",4.2,nil,"3,418"
